TIME_PERIOD,UA_Actual,PDM_Angles,PDM_Distance,Granger,Lagged_Correlation,Multivariate_Regression,Transfer_Entropy,Linear_Pooling,Median_Pooling
2007-01-01,10.852659978255886,1.5,1.5,1.9489684721291372,1.9868331671368253,1.932944860424954,2.041810996784532,1.9909090909090905,1.7
2007-02-01,9.545948858669417,1.7,1.7,1.9369860598687227,1.9704447751713816,1.9079531608589577,2.002101931827468,1.9727272727272724,1.9
2007-03-01,10.095326736596522,2.2940367548786704,2.2939698492462313,2.055929467994369,2.096080743562995,2.033218650771103,2.080124414129807,2.0999999999999996,2.0
2007-04-01,10.537476643169196,1.85,1.85,2.0442349236544195,2.0899731012121485,2.0335676118949793,2.095552192459377,2.090909090909091,1.9
2007-05-01,10.647464182117638,1.7589885140730999,1.7590759075907592,1.9308814946141841,1.9716617883516527,1.9119991327219736,1.9608085101822819,1.9727272727272722,2.0
2007-06-01,12.968739654469807,2.35,2.35,1.9459856108934586,1.9896047679881326,1.937308630904889,1.9918830359744684,1.9909090909090907,2.0
2007-07-01,13.528545103699097,1.3,1.3,1.877339023485329,1.9232243481927709,1.8799995215818017,1.93280172688823,1.927272727272727,2.0
2007-08-01,14.20971637432129,1.479105829582129,1.478846153846154,1.70406344738795,1.7422976592711747,1.7072225045939033,1.787299545072589,1.7454545454545454,1.7
2007-09-01,14.43365699466308,2.4071408727439296,2.406172839506173,2.026725669653535,2.0874317677812138,2.056803780153774,2.1339234583705307,2.090909090909091,2.0
2007-10-01,14.76825833090476,2.8576134873194334,2.858064516129032,2.480760813385882,2.5092466926530697,2.484028746410535,2.5890817326135775,2.509090909090909,2.5
2007-11-01,15.219214159316996,3.2,3.2,2.943025740197851,2.980182409250184,2.952533815461532,3.086388775265813,2.981818181818181,2.9
2007-12-01,16.589512048228606,3.9,3.9,2.979092801350463,2.991475933626935,2.9698709829199634,3.133775818691795,2.9909090909090907,3.1
2008-01-01,19.373739201619088,3.8075858318330438,3.8072669826224335,3.248388317625175,3.225095441331283,3.2385854600649884,3.362226747946203,3.227272727272727,3.2
2008-02-01,21.865636342010752,3.3,3.3,3.342925639829814,3.32074494740365,3.312907328479207,3.4546249070442054,3.327272727272727,3.2
2008-03-01,26.244042438130922,4.509228009343996,4.509126466753585,3.628245305149152,3.6136644044337953,3.616706958301063,3.747113198147945,3.6181818181818173,3.6
2008-04-01,30.157607753712966,2.9878118891258727,2.9873658315959006,3.3440074134449715,3.300519991446976,3.30458289822127,3.4279791100845114,3.309090909090908,3.4
2008-05-01,31.06327699255589,4.080038768162712,4.0776271186440685,3.8511684314524413,3.7991571759082365,3.8042318173737404,3.9122820528539846,3.809090909090908,3.8
2008-06-01,29.26788963649347,4.6758912900683125,4.675,4.14942750857451,4.092550403673367,4.100579780385434,4.2250653663748,4.1,4.0
2008-07-01,26.845710244882646,4.6,4.6,4.1812786598740175,4.102964559735944,4.103867072793404,4.211343466383028,4.109090909090909,4.0
2008-08-01,25.963086018526617,3.1063940451190257,3.1064516129032254,4.050694179305657,3.966443989040106,3.961039709673965,4.028401910074275,3.972727272727272,3.6
2008-09-01,24.60731894787709,3.3278863482488927,3.3279069767441856,3.9635642566779064,3.8719695031439265,3.8699001121893373,3.9219662462565807,3.8818181818181814,3.7
2008-10-01,23.1541723712255,2.718539116956632,2.7181957970271657,3.414257273340359,3.335301636512945,3.341280184143714,3.3491896570818738,3.3454545454545443,3.0
2008-11-01,22.31065064265543,2.0963840695965725,2.0957228064668025,2.417650986816502,2.341395605159522,2.3375702390560664,2.2981486247749072,2.3545454545454545,2.3
2008-12-01,22.31065064265545,1.4187006991424764,1.4184890656063618,1.853848815336281,1.7785514622892067,1.7796308764043292,1.680592346832883,1.7909090909090908,1.5
2009-01-01,22.31065064265547,1.0643886265437947,1.0647660958576486,1.3753026741896124,1.33085857129396,1.3148873046569733,1.2027299526134008,1.345454545454545,1.2
2009-02-01,20.88150964196227,0.1,0.1,1.3679173064960444,1.2813554271703145,1.290947435813774,1.1659298679646033,1.2909090909090906,1.3
2009-03-01,18.086561442148085,0.4,0.4,0.7122837771259846,0.6079307426263438,0.6082856891995441,0.47103445680633993,0.618181818181818,0.6
2009-04-01,15.566770606331183,-0.8,-0.8,0.6832610319970834,0.6021525041135323,0.6008831363714179,0.43752413307940663,0.609090909090909,0.7
2009-05-01,14.654101144484555,-0.09999999999999999,-0.09999999999999999,0.10895427180073973,0.0012485846521442384,0.0032291456470554813,-0.17207234490427237,0.00909090909090915,-0.1
2009-06-01,14.995333588366954,-1.0,-1.0,-0.13424123703853424,-0.2349277745635358,-0.2282550953791165,-0.40930689730091263,-0.22727272727272727,-0.3
2009-07-01,15.457626386712132,-1.4698862774624564,-1.4675365465705479,-0.551970909869616,-0.6644303510998124,-0.6394975418480172,-0.7473036371121424,-0.6545454545454544,-0.7
2009-08-01,15.342053187125826,0.5210335465074022,0.5228853585229712,-0.13857887960705595,-0.25216738207110384,-0.2139087275146108,-0.28558902105707207,-0.2454545454545454,-0.1
2009-09-01,14.999791901704086,-0.9,-0.9,-0.35190383785219165,-0.4876912016859467,-0.44984540821162633,-0.5426534018780188,-0.4818181818181817,-0.4
2009-10-01,14.095172103067299,0.2250771208161129,0.225,-0.20635621246253966,-0.33977441764532773,-0.3198503552141204,-0.37152575472127203,-0.3363636363636363,-0.1
2009-11-01,13.645535956848299,0.6167114648057181,0.6154168051121287,0.45856639211292005,0.28844966550763695,0.31596673301219214,0.31732681165149157,0.2909090909090908,0.5
2009-12-01,12.309839158139035,1.23836005321253,1.2377777777777779,0.85869406701165,0.6901292302264326,0.7338186975095778,0.7609133786846278,0.6909090909090909,0.9
2010-01-01,11.109248068984968,0.7090909090909091,0.7090909090909091,0.8821027939704378,0.7094170879866817,0.7593837578027604,0.8005731829117292,0.709090909090909,0.8
2010-02-01,11.547117026892328,0.4,0.4,0.8397931079004658,0.6602149514415205,0.6994821875111032,0.7751983510859005,0.6636363636363637,0.8
2010-03-01,10.997081933071362,1.5360742846057338,1.536192287956346,1.5746747685082854,1.3647135028141184,1.3888967755934194,1.5692017806724752,1.3636363636363635,1.5
2010-04-01,9.676997707901048,1.8000000000000003,1.8,1.713930476580839,1.4786965512140586,1.4927111309606877,1.6907017728785183,1.4818181818181815,1.8
2010-05-01,8.476552956869332,1.9989555595922832,1.9989323843416367,1.8073146365923005,1.5949392348334261,1.5930898298257912,1.8384344758711328,1.5999999999999999,1.5
2010-06-01,6.867108550981049,0.5704383900455239,0.5703703703703711,1.7060162706880944,1.4837489689426315,1.4775496497320009,1.707649398623511,1.4909090909090907,1.4
2010-07-01,6.760134468347445,1.925530371353045,1.9253220140515221,1.9655876935991925,1.7754088115383408,1.74138148439424,1.9391273879051227,1.7818181818181815,1.8
2010-08-01,8.257771625218036,0.050000000000000044,0.050000000000000044,1.8938732670319456,1.7005549698562226,1.6545858285758883,1.847513267719501,1.709090909090909,1.6
2010-09-01,10.51314186741008,3.5372814059157527,3.541666666666665,2.14061925153487,1.9390680575170771,1.8934486756891,2.133461430351605,1.9454545454545453,1.7
2010-10-01,10.07503228617157,2.118181818181818,2.118181818181818,2.3039433126616444,2.1097798140682937,2.08436067050187,2.2448389469115395,2.118181818181818,2.0
2010-11-01,9.204013237418462,1.6,1.6,2.185185259331736,2.003094191371368,1.9899087197224956,2.133916835374378,2.009090909090909,1.8
2010-12-01,9.095783293674753,2.4,2.4,2.56510924791566,2.391750601984954,2.368006293453471,2.5074015153980684,2.4,2.2
2011-01-01,8.238449043822648,3.25,3.25,2.763691734235925,2.6119655765210847,2.58843358474393,2.720679611388209,2.618181818181818,2.5
2011-02-01,7.176246403549635,3.5,3.5,2.879603903386825,2.7582033434456843,2.741529527289265,2.809641232889982,2.7636363636363637,3.2
2011-03-01,7.707347723686153,3.3897989676556377,3.3897009966777407,3.018063414302178,2.9057003844868454,2.8978367028592293,2.9908729808761647,2.9090909090909083,3.3
2011-04-01,9.435850796483503,2.9818181818181815,2.9818181818181815,3.067998127958708,2.982195714183229,2.9764819396767255,3.039052146711027,2.9818181818181815,3.1
2011-05-01,10.977200807701548,2.2,2.2,2.9536714704310785,2.8570900383770814,2.8633098338786303,2.8918349869493287,2.854545454545454,3.0
2011-06-01,11.868583946719259,2.3,2.3,2.9155861040743587,2.809260036011347,2.819495402609418,2.8239829369680667,2.8090909090909086,3.0
2011-07-01,10.635563482376664,2.781818181818182,2.781818181818182,2.8818622540996723,2.7814812866960357,2.7958471060599237,2.703404417670037,2.781818181818182,3.0
2011-08-01,8.886384613090105,1.5707308817419476,1.5714285714285716,2.716731731273009,2.630817766807999,2.668042471308854,2.557073440533767,2.627272727272727,2.7
2011-09-01,5.923489793686221,3.3429293324730867,3.3423216677671923,3.120573406461088,3.0314110576206055,3.0340673539659666,2.9961430436727587,3.0272727272727273,3.0
2011-10-01,5.396507257399219,3.45,3.45,3.127630938120568,3.0520015556558913,3.051884957869868,3.0518654555898665,3.0454545454545454,3.0
2011-11-01,5.186344730465242,3.75,3.75,3.12316533847459,3.050604190869619,3.059384854146505,3.0592599785621584,3.045454545454545,2.9
2011-12-01,4.560235535641022,2.357164760590529,2.356840869054609,2.791947458524949,2.716865195287865,2.7310796707337253,2.7259518535270844,2.709090909090908,2.6
2012-01-01,3.732035650210208,2.645454545454545,2.645454545454545,2.728559766921736,2.652440581912325,2.6710358009654525,2.6235872480984073,2.645454545454545,2.9
2012-02-01,3.012388227463436,2.645454545454545,2.645454545454545,2.7024236109050936,2.6552397305132733,2.672631826119645,2.615341905030579,2.6454545454545455,2.6
2012-03-01,1.8948968364357555,2.6,2.6,2.631456525137582,2.6080990822481454,2.626566379431512,2.5436560238586634,2.5999999999999996,2.6
2012-04-01,0.5872624249119163,2.4999999999999996,2.4999999999999996,2.547752014240067,2.507786259438041,2.52487555071443,2.4596775047877735,2.4999999999999996,2.4
2012-05-01,-0.5104160340901331,2.0324794873644008,2.0326315789473686,2.372908862288406,2.345078263253864,2.3786121139207776,2.29436181571732,2.336363636363636,2.3
2012-06-01,-1.2040685119400818,2.1,2.1,2.311754725612006,2.2812257798158564,2.3101968428203405,2.2340127709206428,2.2727272727272725,2.2
2012-07-01,-0.10299936668309861,2.309090909090909,2.309090909090909,2.340650072429522,2.3176460062035025,2.3450260754248076,2.2715518520680926,2.3090909090909086,2.2
2012-08-01,-0.0027011732761317298,3.0083999716592045,3.0096209912536445,2.5905765277991164,2.589316934495988,2.6150579749350285,2.560963784908898,2.5818181818181816,2.6
2012-09-01,-0.0027011732761095253,2.5727272727272728,2.5727272727272728,2.5917546979192427,2.5833882154707712,2.621026211824169,2.556096845541134,2.5727272727272723,2.6
2012-10-01,-0.0027011732761095253,2.5363636363636366,2.5363636363636366,2.5858742885329855,2.540199796591737,2.562044908818217,2.4569806616041654,2.536363636363636,2.7
2012-11-01,-0.20249597612671533,1.9,1.9,2.270832256859236,2.22335425797886,2.2417368213708593,2.102639941494862,2.2181818181818183,2.2
2012-12-01,-0.20249597612672643,2.833333333333333,2.833333333333333,2.3199725945826453,2.287297572459761,2.302449039885192,2.1420072037668927,2.2818181818181813,2.1
2013-01-01,-0.20249597612671533,1.2512152183778322,1.2518603480109662,1.8876186991769885,1.8676825363971632,1.8845847662554644,1.7104383729493418,1.8636363636363635,1.9
2013-02-01,-0.5012908983538678,0.9755398457127903,0.9749999999999998,1.7684474511819939,1.739777646255119,1.7489677040746912,1.5899894435131454,1.7363636363636363,1.8
2013-03-01,-0.7988942157067358,1.6363636363636365,1.6363636363636365,1.681842214240488,1.6436798200726337,1.663896436578857,1.4992557569659308,1.6363636363636365,1.8
2013-04-01,-0.7988942157067358,0.5090188238811271,0.5111527036362308,1.2635745350451963,1.2190611216851641,1.2434523533669397,1.0336404082583215,1.218181818181818,1.2
2013-05-01,-0.4008957973144156,2.5,2.5,1.4683074072371054,1.421155838598588,1.4419452429612356,1.2440513610960455,1.418181818181818,1.2
2013-06-01,-0.10119939550090606,2.7568097382733914,2.7573770491803278,1.6087560188280754,1.5886082935931711,1.600520201561841,1.4398621983665456,1.5818181818181818,1.6
2013-07-01,-0.0011003968991896151,1.2,1.2,1.535498225131959,1.5237336028829422,1.5542763488638138,1.3637600914077732,1.518181818181818,1.6
2013-08-01,-0.40229959289960204,1.0547319689371053,1.0546666666666669,1.177044661169914,1.14337093043754,1.1848196721615902,0.9878325800242603,1.1363636363636362,1.1
2013-09-01,-0.5017977951044972,0.1722032552629441,0.17225117667317177,0.9510607655386196,0.9332165311523622,0.9789986764524874,0.7703122228975291,0.9272727272727271,1.0
2013-10-01,-0.10380498628491663,-0.05840926461245342,-0.05841944125526216,0.531032171918663,0.5343490267123034,0.6057448181907614,0.39222576248970237,0.5272727272727272,0.7
2013-11-01,0.19618358732984564,1.5,1.5,0.5314087150798542,0.5759763954816215,0.6683227871684108,0.43809488765822635,0.5636363636363635,0.8
2013-12-01,0.4961721609445746,1.2297472540286554,1.2304347826086959,0.7399144827649289,0.7405282582166043,0.808348656100908,0.5874479589219915,0.7363636363636364,0.8
2014-01-01,0.4961721609445968,0.39999999999999997,0.39999999999999997,0.6453706342301355,0.6482799429804862,0.7189840862093345,0.5476214840555961,0.6454545454545454,0.8
2014-02-01,1.200349543453716,0.5454545454545454,0.5454545454545454,0.5516825996560235,0.5463546406009909,0.6257856468057597,0.496502607706076,0.5454545454545455,0.4
2014-03-01,3.426757233409705,0.24940246911728228,0.24938650306748467,0.32117641663811475,0.3279959141864972,0.405835731079997,0.2544427684331685,0.32727272727272727,0.3
2014-04-01,6.8398402221122145,1.0799141077539087,1.080188679245283,0.4962150075190003,0.5142963276291852,0.5836750723440535,0.43350498589947484,0.5090909090909091,0.6
2014-05-01,10.788965185367093,0.1405054735975475,0.1409908735332464,0.290109041083224,0.31476908955124383,0.3947472406629034,0.25786257598132767,0.3090909090909091,0.4
2014-06-01,11.896854837220761,0.3909090909090908,0.3909090909090908,0.36521565388906296,0.3927411482232681,0.45372666228132635,0.30112800599924855,0.3909090909090908,0.5
