date,PDM_angles,PDM_distance,Granger,Lagged_correlation,Multivariate_regression,Transfer_entropy,Linear_pooling,Median_pooling
2008-07-01,4.6,4.6,4.18127865987402,4.102964559735943,4.103867072793402,4.211343466383028,4.10909090909091,4.0
2008-08-01,3.1063940451190257,3.1064516129032262,4.050694179305659,3.9664439890401066,3.961039709673964,4.028401910074275,3.972727272727273,3.6
2008-09-01,3.3278863482488927,3.3279069767441856,3.96356425667791,3.871969503143926,3.869900112189337,3.9219662462565807,3.881818181818182,3.7
2008-10-01,2.718539116956632,2.7181957970271657,3.4142572733403616,3.335301636512945,3.341280184143712,3.3491896570818738,3.345454545454545,3.0
2008-11-01,2.0963840695965725,2.0957228064668025,2.4176509868165064,2.3413956051595215,2.337570239056066,2.2981486247749072,2.354545454545455,2.3
2008-12-01,1.4187006991424764,1.4184890656063618,1.853848815336284,1.7785514622892067,1.7796308764043287,1.680592346832883,1.790909090909091,1.5
2009-01-01,1.0643886265437947,1.0647660958576484,1.3753026741896135,1.3308585712939596,1.314887304656973,1.2027299526134008,1.3454545454545455,1.2
2009-02-01,0.1,0.1,1.3679173064960457,1.2813554271703143,1.2909474358137736,1.1659298679646033,1.2909090909090908,1.3
2009-03-01,0.4,0.4,0.7122837771259861,0.6079307426263437,0.6082856891995442,0.47103445680633993,0.618181818181818,0.6
2009-04-01,-0.8,-0.8,0.6832610319970832,0.6021525041135322,0.6008831363714179,0.43752413307940663,0.6090909090909091,0.7
2009-05-01,-0.09999999999999999,-0.09999999999999999,0.10895427180074052,0.0012485846521442107,0.0032291456470554536,-0.17207234490427237,0.009090909090909066,-0.1
2009-06-01,-1.0,-1.0,-0.1342412370385348,-0.23492777456353578,-0.22825509537911642,-0.40930689730091263,-0.22727272727272727,-0.3
2009-07-01,-1.4698862774624564,-1.4675365465705479,-0.5519709098696153,-0.6644303510998122,-0.6394975418480171,-0.7473036371121424,-0.6545454545454544,-0.7
2009-08-01,0.5210335465074022,0.5228853585229712,-0.13857887960705656,-0.25216738207110373,-0.2139087275146107,-0.28558902105707207,-0.24545454545454543,-0.1
